                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.43965,                 1.1258,                 1.0082,                0.87362,                0.91429,                0.95933,                0.91113,                0.32964,                0.92712,                0.89042,             0.00019809,             0.00019809,             0.00019809
                     85,                0.43861,                  1.161,                0.99318,                0.86939,                0.91429,                0.96049,                0.91519,                0.32395,                0.90097,                0.88404,             0.00018709,             0.00018709,             0.00018709
                     86,                0.47841,                 1.1945,                 1.0334,                0.89066,                0.93415,                0.96669,                0.92209,                0.32621,                0.89079,                0.88381,             0.00017609,             0.00017609,             0.00017609
                     87,                 0.4293,                 1.1387,                0.98708,                0.86088,                0.94199,                0.97789,                0.93375,                0.32077,                0.87094,                0.87998,             0.00016509,             0.00016509,             0.00016509
                     88,                0.57694,                 1.0576,                 1.0909,                0.86088,                0.94199,                0.97789,                0.93375,                0.32077,                0.87094,                0.87998,              0.0001541,              0.0001541,              0.0001541
                     89,                0.55419,                 1.1034,                 1.0864,                0.86244,                0.97079,                0.97925,                0.93379,                 0.3155,                0.86918,                0.87838,              0.0001431,              0.0001431,              0.0001431
                     90,                0.29468,                 1.2901,                  0.905,                0.84868,                0.97052,                  0.981,                0.93507,                0.30411,                0.86262,                0.86819,              0.0001321,              0.0001321,              0.0001321
                     91,                0.30442,                 1.0019,                0.88242,                0.87102,                0.97143,                0.98208,                0.93427,                  0.295,                 0.8494,                0.86173,              0.0001211,              0.0001211,              0.0001211
                     92,                0.32536,                 1.0584,                0.91429,                0.87102,                0.97143,                0.98208,                0.93427,                  0.295,                 0.8494,                0.86173,              0.0001101,              0.0001101,              0.0001101
                     93,                0.30893,                 1.1127,                0.88552,                0.89046,                0.97143,                  0.981,                0.93597,                0.28957,                0.84993,                0.85811,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.30714,                 0.9722,                0.87075,                0.87658,                0.94286,                0.97525,                0.93377,                0.28681,                0.86425,                0.85446,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                 0.2667,                 1.0429,                0.92759,                0.85776,                0.94628,                  0.977,                0.93572,                0.28371,                0.87821,                0.85273,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.29793,                 1.0325,                 0.9397,                0.85776,                0.94628,                  0.977,                0.93572,                0.28371,                0.87821,                0.85273,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.29097,                  1.074,                0.88113,                0.85497,                0.93275,                  0.967,                0.92624,                0.28235,                0.89241,                0.85222,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.30897,                0.95721,                0.91473,                 0.8548,                0.93387,                0.96361,                0.92626,                0.28173,                0.90169,                0.85105,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.28062,                0.98924,                0.88219,                0.85822,                0.93818,                0.96808,                0.93178,                0.28166,                0.89288,                0.85065,             3.3108e-05,             3.3108e-05,             3.3108e-05
